Home_encoded,-8.886987768104045e-15
OpponentPoints,-0.0031680660148953876
FieldGoals,1.6580645493513413
FieldGoalsAttempted,-0.003347062333465325
FieldGoalsPct,3.369235045708289e-14
X3PointShots,1.3419354506486583
X3PointShotsAttempted,0.0033470623334660226
X3PointShotsPct,-3.231492470846595e-14
FreeThrows,0.9999999999999992
FreeThrowsAttempted,4.943574350484209e-16
FreeThrowsPct,2.9114675865906465e-15
OffRebounds,0.010951550188909129
TotalRebounds,-0.010951550188908933
Assists,3.9184347158636155e-16
Steals,-1.7145607266938796e-16
Blocks,4.062857670055147e-16
Turnovers,9.818474862432473e-18
TotalFouls,-8.880182473416984e-16
OppFieldGoals,0.005617475040682745
OppFieldGoalsAttempted,0.0001313915406142867
OppFieldGoalsPct,-1.1946183876568678e-13
Opp3PointShots,0.003886723004004812
Opp3PointShotsAttempted,-0.00013139154061391414
Opp3PointShotsPct,1.1137409070816556e-14
OppFreeThrows,0.0031680660148955286
OppFreeThrowsAttempted,-6.555648715692912e-17
OppFreeThrowsPct,1.2735337232893377e-14
OppOffRebounds,3.735781855544349e-16
OppTotalRebounds,-8.295646596908751e-16
OppAssists,-3.084440145582516e-16
OppSteals,7.045855282052445e-16
OppBlocks,6.839911775776703e-16
OppTurnovers,-7.560633614869635e-17
OppTotalFouls,5.065392549852277e-16
X2PointShots,0.34193545064865777
X2PointShotsAttempted,0.003347062333466681
X2PointShotsPct,-7.92085581152735e-15
eFG%,3.904992648684491e-14
Opp2PointShots,0.000718656989110715
Opp2PointShotsAttempted,-0.000131391540614671
Opp2PointShotsPct,1.1161861365738268e-15
OppeFG%,4.780756953509657e-14
DefRebounds,0.010951550188909365
